split,track6_row_id,artist_key
train,0,eun hye seo
train,1,eun hye seo
train,2,mihyun kim
train,3,jooha sim
train,4,eun hye seo
train,5,wondeuk cho
train,6,eun hye seo
train,7,eun hye seo
train,8,jooha sim
train,9,baek hwa
train,10,ro un lee
train,12,hyeyune choi
train,14,rreonsu choi
train,16,yujin l
train,17,rakeum rhee
train,18,kyeonghoon oh
train,20,wondeuk cho
train,21,eun hye seo
train,22,junsung chang
train,23,e eun seo
train,24,junsung chang
train,25,junsung chang
train,26,junsung chang
train,27,junsung chang
train,28,junsung chang
train,29,junsung chang
train,30,junsung chang
train,31,junsung chang
train,32,junsung chang
train,33,junsung chang
train,34,junsung chang
train,35,eun hye seo
train,36,eun hye seo
train,40,hee ra kim
train,41,e eun seo
train,47,suhyang seo
train,48,jiwon jang
train,49,eun hye seo
train,50,jiwon jang
train,51,e eun seo
train,52,jiwon jang
train,53,jiwon jang
train,54,eun hye seo
train,55,eun hye seo
train,57,eun hye seo
train,59,sunny jung
train,60,sunny jung
train,61,suhyang seo
train,62,영곤 김
train,63,영곤 김
train,66,영곤 김
train,68,eun hye seo
train,70,eun hye seo
train,71,eun hye seo
train,72,zeyah ren
train,75,eun hye seo
train,76,eun hye seo
train,77,zeyah ren
train,78,lightground myungkyu kang
train,79,lightground myungkyu kang
train,80,injung kwon
train,81,eun hye seo
train,82,eun hye seo
train,83,eun hye seo
train,84,eun hye seo
train,85,e eun seo
train,86,e eun seo
train,87,lynn yang
train,88,lynn yang
train,94,jiyoung hong
train,97,eun hye seo
train,98,e eun seo
train,99,eun hye seo
train,101,eun hye seo
train,102,eun hye seo
train,103,lightground myungkyu kang
train,104,eun hye seo
train,105,eun hye seo
train,106,eun hye seo
train,107,mihyun kim
train,109,e eun seo
train,110,eun hye seo
train,113,eun hye seo
train,117,hee ra kim
train,118,zeyah ren
train,119,zeyah ren
train,120,lydia lee
train,121,eun hye seo
train,122,zeyah ren
train,123,eun hye seo
train,124,e eun seo
train,125,eun hye seo
train,130,jiwon jang
train,131,jiwon jang
train,132,jiwon jang
train,133,mu ri
train,134,tina kobets
train,135,jiwon jang
train,136,eun hye seo
train,137,ro un lee
train,138,jane nee
train,139,elle rosenfeld
train,142,e eun seo
train,146,ro un lee
train,147,e eun seo
train,148,jong pyo kim
train,149,jiwon jang
train,150,jiwon jang
train,152,kim byungkwan
train,153,e eun seo
train,154,e eun seo
train,155,eun hye seo
train,156,e eun seo
train,157,jiwon jang
train,158,e eun seo
train,159,jieun kim
train,160,jiwon jang
train,161,e eun seo
train,164,jiwon jang
train,176,e eun seo
train,177,e eun seo
train,178,jong pyo kim
train,179,jong pyo kim
train,180,jihae lee
train,181,jiwon jang
train,182,eun hye seo
train,183,eun hye seo
train,184,eun hye seo
train,185,eun hye seo
train,186,e eun seo
train,187,e eun seo
train,188,e eun seo
train,189,eun hye seo
train,190,e eun seo
train,191,e eun seo
train,192,e eun seo
train,194,eun hye seo
train,195,jihea yang
train,196,hee ra kim
train,197,sungmin jo
train,199,gwondo back
train,200,ro un lee
train,201,eun hye seo
train,202,ro un lee
train,203,eun hye seo
train,204,e eun seo
train,205,jiwon jang
train,206,eun hye seo
train,207,lydia lee
train,208,eun hye seo
train,209,ro un lee
train,210,eun hye seo
train,212,e eun seo
train,213,e eun seo
train,214,eun hye seo
train,215,ro un lee
train,216,ro un lee
train,217,eun hye seo
train,218,eun hye seo
train,219,e eun seo
train,220,yuui gim
train,221,eun hye seo
train,222,eun hye seo
train,223,ro un lee
train,224,ro un lee
train,225,ro un lee
train,226,e eun seo
train,227,eun hye seo
train,228,eun hye seo
train,229,gwondo back
train,230,eun hye seo
train,231,eun hye seo
train,232,eun hye seo
train,233,eun hye seo
train,234,eun hye seo
train,235,ro un lee
train,236,hyesoo han
train,237,e eun seo
train,238,e eun seo
train,239,e eun seo
train,240,eun hye seo
train,241,eun hye seo
train,242,eun hye seo
train,243,eun hye seo
train,245,eun hye seo
train,247,hyesoo han
train,248,hyesoo han
train,249,e eun seo
train,250,e eun seo
train,251,e eun seo
train,252,eun hye seo
train,253,eun hye seo
train,254,eun hye seo
train,255,eun hye seo
train,256,eun hye seo
train,257,ro un lee
train,259,eun hye seo
train,261,eun hye seo
train,264,seokyung cho
train,265,seokyung cho
train,266,sungmin jo
train,267,eun hye seo
train,268,kimari
train,269,gwondo back
train,270,hee ra kim
train,271,suhyang seo
train,272,suhyang seo
train,273,suhyang seo
train,275,hyesoo han
train,277,suhyang seo
train,278,eun hye seo
train,279,hyesoo han
train,280,hyesoo han
train,281,hyesoo han
train,282,hyesoo han
train,283,e eun seo
train,284,e eun seo
train,286,e eun seo
train,288,e eun seo
train,289,e eun seo
train,290,eun hye seo
train,291,eun hye seo
train,292,eun hye seo
train,294,e eun seo
train,295,e eun seo
train,296,eun hye seo
train,297,eun hye seo
train,298,e eun seo
train,306,yuui gim
train,307,jung hyun park
train,308,eun hye seo
train,312,e eun seo
train,314,e eun seo
train,315,cheolseong kim
train,316,jieun kim
train,317,e eun seo
train,318,hee ra kim
train,319,eunja cho
train,320,eun hye seo
train,325,jiwon jang
train,326,jiwon jang
train,327,lynn yang
train,328,lynn yang
train,329,lynn yang
train,330,lynn yang
train,331,misung kim
train,332,misung kim
train,333,misung kim
train,334,injung kwon
train,335,jiwon jang
train,337,jiwon jang
train,338,jiwon jang
train,339,jiwon jang
train,340,eun hye seo
train,341,hee ra kim
train,342,jiwon jang
train,343,injung kwon
train,345,suhyang seo
train,346,suhyang seo
train,347,suhyang seo
train,348,jiwon jang
train,350,suhyang seo
train,351,suhyang seo
train,352,suhyang seo
train,353,suhyang seo
train,354,jiwon jang
train,355,seokyung cho
