seed,split,track4_row_id,artist_key
20260518,warm_eval,14,rreonsu choi
20260518,warm_eval,51,e eun seo
20260518,warm_eval,91,jaeho jung
20260518,warm_eval,93,jaeho jung
20260518,warm_eval,490,aira choi
20260518,warm_eval,498,aira choi
20260518,warm_eval,500,eui jin yun
20260518,warm_eval,512,yeongok kim
20260518,warm_eval,550,jinhui lee
20260518,warm_eval,566,yujin l
20260518,warm_eval,656,hyojung kim
20260518,warm_eval,773,hyojung kim
20260518,warm_eval,826,kyong seob lee
20260518,warm_eval,844,kyong seob lee
20260518,warm_eval,1050,kyong seob lee
20260518,warm_eval,1064,yujin l
20260518,warm_eval,1089,hanna jung
20260518,warm_eval,1091,hanna jung
20260518,warm_eval,1122,ryu hoimin
20260518,warm_eval,1177,youngsoo kim
20260518,warm_eval,1180,youngsoo kim
20260518,warm_eval,1187,youngsoo kim
20260518,warm_eval,1216,ryu hoimin
20260518,warm_eval,1269,seirin hyung
20260518,warm_eval,1276,lynn yang
20260518,warm_eval,1325,yongho park
20260518,warm_eval,1430,kim yujun
20260518,warm_eval,1451,seirin hyung
20260518,warm_eval,1510,lynn yang
20260518,warm_eval,1525,donghwi dongza
20260518,warm_eval,2102,kim yujun
20260518,warm_eval,2224,kim yujun
20260518,warm_eval,2233,donghwi dongza
20260518,warm_eval,2257,jiseon han
20260518,warm_eval,2456,seungho jang
20260518,warm_eval,2594,byungjin kim
20260518,warm_eval,2599,byungjin kim
20260518,warm_eval,2676,byungjin kim
20260518,warm_eval,2694,jinhui lee
20260518,warm_eval,2697,mijeong choi
20260518,warm_eval,2721,mijeong choi
20260518,warm_eval,2788,injung kwon
20260518,warm_eval,2866,aeng la
20260518,warm_eval,2876,eui jin yun
20260518,warm_eval,2896,kyoung soo lee
20260518,warm_eval,2923,yongho park
20260518,warm_eval,3006,kyeonghoon oh
20260518,warm_eval,3215,yeongok kim
20260518,warm_eval,3371,jeong ah lim
20260518,warm_eval,3406,yeongok kim
20260518,warm_eval,3635,donghwi dongza
20260518,warm_eval,3644,jeong ah lim
20260518,warm_eval,3697,ryu hoimin
20260518,warm_eval,3793,yeji jun
20260518,warm_eval,3800,yeji jun
20260518,warm_eval,3802,yeji jun
20260518,warm_eval,3829,soyeun park
20260518,warm_eval,3980,jeongwoo kim
20260518,warm_eval,4186,jieun kim
20260518,warm_eval,4192,soyeun park
